"n","m","estimate","estimator"
20,20,2.96509769730605,"oracle"
20,20,3.32307699087065,"semi-oracle"
20,20,4.22426524476142,"ipsw"
20,20,8.49947532016163,"oracle"
20,20,8.8996145914545,"semi-oracle"
20,20,9.04449086755758,"ipsw"
20,40,3.96820951242422,"oracle"
20,40,3.77242811636956,"semi-oracle"
20,40,3.60469938993982,"ipsw"
20,40,7.4361021114101,"oracle"
20,40,7.50495594632768,"semi-oracle"
20,40,6.69593739350718,"ipsw"
40,20,6.4388166578626,"oracle"
40,20,6.54770576006682,"semi-oracle"
40,20,7.03842470137649,"ipsw"
40,20,8.15667426531684,"oracle"
40,20,8.01680915034286,"semi-oracle"
40,20,8.20785193539905,"ipsw"
40,40,7.96978954228355,"oracle"
40,40,8.35588149255947,"semi-oracle"
40,40,8.9177517412845,"ipsw"
40,40,8.67160119937293,"oracle"
40,40,8.65182666379016,"semi-oracle"
40,40,7.95844695894467,"ipsw"
